,price,Condition ,Date ,Views ,City,Motorbike Type ,Make Year,Make,Model,Engine size (cc),Lot No.,Kilometers
1947,"Rs. 3,00,000",Used,24/1/2017,168,Butwal,Sportsbike,2016,Yamaha,R15S,150,4,6830
1948,"Rs. 2,10,000",Used,23/1/2017,165,Dumre,Sportsbike,2015,Yamaha,R15,150,10,14000
1949,"Rs. 2,40,000",Used,23/1/2017,571,Kathmandu,Sportsbike,2015,Yamaha,R15,150,65,15000
1950,Rs. 280.00,Used,22/1/2017,656,Lalitpur,Sportsbike,2015,Yamaha,R15,150,69,8500
1951,"Rs. 3,00,000",Used,20/1/2017,248,Kathmandu,Sportsbike,2015,Yamaha,R15S,150,79,1500
1952,"Rs. 1,06,000",Used,20/1/2017,544,Kathmandu,Scooter,2014,Yamaha,Alpha,113,65,17000
1953,"Rs. 8,30,000",Used,15/1/2017,1587,Butwal,Sportsbike,2016,Yamaha,R3,321,30,946
1954,"Rs. 1,80,000",Used,8/1/2017,103,Kathmandu,Sportsbike,2015,Yamaha,FZ-S,149,66,23000
1955,Rs. 76.00,Used,26/12/2016,127,Kathmandu,,2014,Yamaha,,,,
1956,"Rs. 3,05,000",Used,21/12/2016,599,Kathmandu,Sportsbike,2016,Yamaha,R15S,163,78,2600
1957,"Rs. 2,50,000",Used,19/12/2016,633,Waling,Sportsbike,2014,Yamaha,R15,150,19,25000
1958,"Rs. 2,00,000",Used,8/12/2016,524,Lalitpur,Sportsbike,2015,Yamaha,FZ-S,150,67,6300
1959,"Rs. 2,00,000",Used,8/12/2016,343,Kathmandu,Sportsbike,2016,Yamaha,FZ-S,150,69,7000
1960,"Rs. 1,30,000",Used,6/12/2016,601,Kathmandu,Sportsbike,2011,Yamaha,R15,150,40,62000
1961,"Rs. 1,53,000",Used,6/12/2016,1865,Birtamod,Sportsbike,2014,Yamaha,FZ-S,153,6,32
1962,"Rs. 2,70,000",Used,28/11/2016,520,Dulegauda,Sportsbike,2013,Yamaha,R15,150,8,9000
1963,"Rs. 2,10,000",Used,25/11/2016,263,Damak,Sportsbike,2012,Yamaha,R15,150,5,37000
1964,"Rs. 1,80,000",Used,23/11/2016,892,Madhyapur Thimi,Sportsbike,2012,Yamaha,R15S,150,50,28000
1965,"Rs. 1,85,000",Used,16/11/2016,549,Lekhnath,Sportsbike,2013,Yamaha,R15,150,8,26000
1966,"Rs. 2,30,000",Used,13/11/2016,458,Kathmandu,Sportsbike,2014,Yamaha,R15,150,59,14000
1967,"Rs. 1,70,000",Used,5/11/2016,80,Kathmandu,Sportsbike,2006,Yamaha,R15,150,50,450000
1968,Rs. 2.00,Used,5/11/2016,419,Kathmandu,Sportsbike,2014,Yamaha,R15,150,61,14000
1969,Contact Seller,Used,11/10/2016,3387,Kathmandu,Other,2011,Yamaha,Other,600,66,2581
1970,"Rs. 2,60,000",Used,28/9/2016,511,Kirtipur,Sportsbike,2014,Yamaha,R15,150,63,24000
1971,"Rs. 4,10,000",Used,27/9/2016,10894,Kathmandu,Other,2012,Yamaha,Other,600,6,2536
1972,"Rs. 1,90,000",Used,25/9/2016,117,Itahari,Sportsbike,2012,Yamaha,R15,150,27,30000
1973,"Rs. 1,90,000",Used,25/9/2016,83,Biratnagar,Sportsbike,2012,Yamaha,R15,150,27,30000
1974,"Rs. 1,20,000",Used,21/9/2016,529,Kathmandu,Sportsbike,2010,Yamaha,FZ-S,153,42,36000
1975,"Rs. 1,80,000",Used,19/9/2016,342,Kathmandu,Sportsbike,2010,Yamaha,R15,150,43,23000
1976,"Rs. 2,70,000",Used,8/9/2016,338,Kathmandu,Sportsbike,2015,Yamaha,R15,150,67,9000
1977,Contact Seller,Used,7/9/2016,161,Kathmandu,Sportsbike,2010,Yamaha,R15,150,41,29500
