Make,Model,Engine size (cc),Motorbike Type ,Make Year,datetime,Condition ,City,Lot No.,Kilometers,views (int),price(float)
Bajaj,Pulsar 150,150.0,Standard,2010.0,2016-04-22,Used,Kathmandu,41.0,47300.0,59,120000.0
Bajaj,Pulsar RS200,200.0,Sportsbike,2015.0,2016-04-22,Used,Kathmandu,72.0,1400.0,1127,375000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2012.0,2016-04-21,Used,Bhaktapur,53.0,210000.0,646,175000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2013.0,2016-04-19,Used,Kathmandu,53.0,34000.0,1178,150000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2013.0,2016-04-19,Used,Kathmandu,53.0,33000.0,163,150.0
Bajaj,Pulsar 150,150.0,Standard,2010.0,2016-04-18,Used,Kathmandu,42.0,22000.0,364,120000.0
Bajaj,Pulsar 150,150.0,Standard,2010.0,2016-04-18,Used,Kathmandu,42.0,22000.0,206,120000.0
Bajaj,Pulsar 220F,220.0,Standard,2014.0,2016-12-04,Used,Waling,9.0,12000.0,185,130000.0
Bajaj,Avenger,220.0,Cruiser,2011.0,2016-11-04,Used,Waling,6.0,19584.0,139,95000.0
Bajaj,Avenger,220.0,Cruiser,2012.0,2016-09-04,Used,,11.0,21400.0,96,180000.0
Bajaj,Pulsar 200,200.0,Standard,2007.0,2016-03-30,Used,Kathmandu,29.0,28799.0,852,90000.0
Bajaj,Discover 135,135.0,Standard,2010.0,2016-03-26,Used,Butwal,8071.0,76000.0,1414,NaN
Bajaj,Discover 150,150.0,Standard,2010.0,2016-03-22,Used,Kathmandu,44.0,44000.0,103,100000.0
Bajaj,Pulsar AS200,200.0,Standard,2015.0,2016-03-19,Used,Kathmandu,23.0,3602.0,273,250000.0
Bajaj,Pulsar 150,150.0,Standard,2014.0,2016-03-16,Used,Banepa,55.0,32000.0,821,150000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2015.0,2016-03-16,Used,Kathmandu,71.0,800.0,831,240000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2016-03-14,Used,Itahari,24.0,500.0,1144,265000.0
Bajaj,Pulsar AS200,200.0,Standard,2015.0,2016-10-03,Used,Kathmandu,70.0,2700.0,529,240000.0
Bajaj,Pulsar 200,200.0,Standard,2007.0,2016-07-03,Used,Kathmandu,27.0,43320.0,5013,130000.0
Bajaj,Pulsar 220F,220.0,Standard,2014.0,2016-04-03,Used,Kathmandu,65.0,16000.0,563,220000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2013.0,2016-02-03,Used,Kathmandu,61.0,16000.0,242,240000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2016-02-03,Used,Pokhara,10.0,6500.0,454,235000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2014.0,2016-03-14,Used,Kathmandu,60.0,23000.0,366,200000.0
Bajaj,Pulsar AS150,150.0,Sportsbike,2015.0,2016-02-25,Used,Jeetpur,36.0,4500.0,461,2.0
Bajaj,Pulsar 200,200.0,Standard,2010.0,2016-02-25,Used,Bhaktapur,26.0,60000.0,3626,75000.0
Bajaj,Pulsar RS200,200.0,Sportsbike,2016.0,2016-02-24,Used,Kathmandu,72.0,1500.0,3718,350000.0
Bajaj,Pulsar 180,180.0,Standard,2013.0,2016-02-18,Used,Waling,8.0,12000.0,133,175000.0
Bajaj,Pulsar 150,150.0,Standard,2013.0,2016-02-18,Used,Kathmandu,59.0,20000.0,101,165000.0
Bajaj,Pulsar 220F,220.0,Standard,2012.0,2016-02-17,Used,Kathmandu,50.0,39000.0,2395,158000.0
Bajaj,Avenger,220.0,Cruiser,2015.0,2016-08-13,Used,Kathmandu,29.0,20000.0,492,195000.0
Bajaj,Pulsar 150,150.0,Standard,2010.0,2016-04-02,Used,Waling,39.0,26000.0,163,95000.0
Bajaj,Pulsar 150,150.0,Standard,2015.0,2016-02-02,Used,Kirtipur,71.0,2500.0,325,210000.0
Bajaj,Pulsar 180,180.0,Standard,2011.0,2016-01-30,Used,Kathmandu,41.0,27000.0,172,100000.0
Bajaj,Pulsar AS200,200.0,Standard,2015.0,2016-01-25,Used,Kathmandu,69.0,3500.0,792,255000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2012.0,2016-01-23,Used,Kathmandu,58.0,24000.0,84,185000.0
Bajaj,Pulsar 220F,220.0,Standard,2012.0,2016-01-21,Used,Butwal,12.0,35000.0,242,210000.0
Bajaj,Pulsar 150,150.0,Standard,2012.0,2016-01-20,Used,Waling,7.0,15600.0,671,135000.0
Bajaj,Pulsar 220F,220.0,Standard,2014.0,2016-01-20,Used,Waling,8.0,25000.0,584,190000.0
Bajaj,Pulsar AS200,200.0,Standard,2016.0,2016-01-19,Used,Birat Chowk,22.0,3100.0,291,250000.0
Bajaj,Avenger,220.0,Cruiser,2011.0,2016-01-18,Used,Waling,6.0,19000.0,361,145000.0
Bajaj,Avenger,200.0,Cruiser,2013.0,2016-01-16,Used,Kathmandu,53.0,25000.0,891,165000.0
Bajaj,Pulsar 150,150.0,Standard,2008.0,2016-01-13,Used,Lalitpur,27.0,33000.0,209,70000.0
Bajaj,Pulsar 150,150.0,Standard,2012.0,2016-11-01,Used,Waling,7.0,31000.0,118,125000.0
Bajaj,Pulsar RS200,200.0,Sportsbike,2015.0,2016-11-01,Used,Kathmandu,70.0,2500.0,98,375000.0
Bajaj,Pulsar 220F,220.0,Standard,2014.0,2016-10-01,Used,Madhyapur Thimi,62.0,26000.0,218,225000.0
Bajaj,Pulsar 220F,220.0,Standard,2014.0,2016-10-01,Used,Madhyapur Thimi,9824.0,26000.0,142,240000.0
Bajaj,Pulsar 180,180.0,Standard,2014.0,2016-09-01,Used,Waling,18.0,16900.0,332,190000.0
Bajaj,Pulsar 220F,1.0,Standard,2014.0,2016-09-01,Used,Gatthaghar,62.0,26000.0,66,240000.0
Bajaj,Pulsar 150,150.0,Standard,2015.0,2016-08-01,Used,Butwal,9140.0,7500.0,1492,180000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2012.0,2016-10-01,Used,Kathmandu,53.0,16500.0,583,170000.0
Bajaj,Pulsar RS200,200.0,Sportsbike,2016.0,2016-06-01,Used,Kathmandu,70.0,6000.0,3173,350000.0
Bajaj,Pulsar AS150,150.0,Sportsbike,2015.0,2016-06-01,Used,Bharatpur,37.0,1900.0,1687,230000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2016-02-01,Used,Butwal,22.0,1800.0,358,255000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2016-02-01,Used,Butwal,22.0,1800.0,44,255000.0
Bajaj,Pulsar 150,150.0,Standard,2011.0,2016-02-01,Used,Kathmandu,12.0,15000.0,151,120000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2016-02-01,Used,Lalitpur,62.0,6565.0,687,220000.0
Bajaj,Avenger,200.0,Cruiser,2009.0,2015-12-24,Used,Kathmandu,71.0,25000.0,160,95000.0
Bajaj,Pulsar 180,180.0,Standard,2012.0,2015-12-23,Used,Pokhara,9.0,15000.0,105,175000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2015-12-22,Used,Kathmandu,69.0,2851.0,79,260000.0
Bajaj,Avenger,180.0,Cruiser,2007.0,2015-12-19,Used,Waling,4.0,28000.0,73,90000.0
Bajaj,Pulsar 150,180.0,Standard,2013.0,2015-12-19,Used,Waling,8.0,14500.0,79,165000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2015-12-17,Used,Madhyapur Thimi,68.0,10000.0,64,245000.0
Bajaj,Other,150.0,Standard,1990.0,2018-02-06,Used,Dharan,1.0,20000.0,1119,120000.0
Bajaj,Pulsar 220F,220.0,Standard,2015.0,2015-02-12,Used,Bharatpur,34.0,9200.0,316,235000.0
Bajaj,Pulsar 200NS,200.0,Sportsbike,2012.0,2015-11-26,Used,Kathmandu,58.0,20000.0,73,215000.0
Bajaj,Pulsar 150,150.0,Standard,2012.0,2015-11-24,Used,Kathmandu,52.0,28000.0,116,140000.0
