,price,Condition ,Date ,Views ,City,Motorbike Type ,Make Year,Make,Model,Engine size (cc),Colour,Lot No.,Kilometers,Warranty
525,"Rs. 1,25,000",Used,13/2/2015,1073,Nepalgunj,Standard,2010,Bajaj,Pulsar 150,150,black,2010,45000,5 year
526,"Rs. 1,55,000",Used,13/2/2015,371,Kathmandu,Cruiser,2010,Bajaj,Avenger,220,black,44,23000,
527,"Rs. 15,000",Used,13/2/2015,645,Pokhara,Standard,2010,Bajaj,Pulsar 220F,220,black,2011,50000,
528,"Rs. 2,00,000",Used,13/2/2015,503,Kathmandu,Sportsbike,2012,Bajaj,Pulsar 200NS,200,Orange,52,19000,
529,"Rs. 1,20,000",Used,13/2/2015,1059,Banepa,Standard,2010,Bajaj,Pulsar 150,150,Grey,42,15000,
530,"Rs. 2,20,000",Used,11/2/2015,1048,Kathmandu,Standard,2014,Bajaj,Pulsar 220F,220,blue,9,10000,1 year
531,"Rs. 75,000",Used,11/2/2015,2653,Kathmandu,Standard,2007,Bajaj,Pulsar 150,150,BLACK,25,,
532,"Rs. 2,10,000",Used,11/2/2015,662,Kathmandu,Standard,2014,Bajaj,Pulsar 150,150,RED & BLACK,65,1500,COMPANY
533,"Rs. 2,00,000",Used,11/2/2015,77,Kathmandu,Standard,2010,Bajaj,Pulsar 220F,220,black,56,7500,
534,"Rs. 1,77,000",Used,10/2/2015,146,Kathmandu,Sportsbike,2012,Bajaj,Pulsar 200NS,200,Red,55,,
535,"Rs. 1,10,000",Used,16/2/2015,1224,Kathmandu,Standard,2008,Bajaj,Pulsar 220,220,Blue,27,39000,
536,"Rs. 1,49,000",Used,9/2/2015,782,Kathmandu,Standard,2011,Bajaj,Pulsar 150,150,blue,48,23000,NO
537,"Rs. 84,000",Used,8/2/2015,755,Kathmandu,Standard,2009,Bajaj,Pulsar 135,135,Black,39,42353,
538,"Rs. 1,75,000",Used,6/2/2015,111,Kathmandu,Cruiser,2012,Bajaj,Avenger,220,Blue,52,14000,
539,"Rs. 73,000",Used,5/2/2015,121,Kathmandu,Standard,2009,Bajaj,Discover 135,135,Red and black,29,40000,
540,"Rs. 2,10,000",Used,9/2/2015,267,Kathmandu,Standard,2014,Bajaj,Pulsar 150,150,Blue,65,1550,
541,"Rs. 1,25,000",Used,4/2/2015,633,Bhaktapur,Standard,2012,Bajaj,Discover 125,125,Blue & Black,55,19000,
542,"Rs. 2,12,000",Used,2/2/2015,100,Kathmandu,Standard,2013,Bajaj,Pulsar 220F,220,Blue,59,7552,
543,"Rs. 1,75,000",Used,2/2/2015,166,Kathmandu,Sportsbike,2013,Bajaj,Pulsar 200NS,200,Red,55,17000,Yes
544,"Rs. 2,35,000",Used,1/2/2015,109,Kathmandu,Sportsbike,2014,Bajaj,Pulsar 200NS,200,Black and Red,62,8000,
545,"Rs. 1,90,000",Used,1/2/2015,134,Kathmandu,Standard,2014,Bajaj,Pulsar 150,150,Blue & Black,62,6000,
546,"Rs. 2,05,000",Used,1/2/2015,1608,Kathmandu,Sportsbike,2012,Bajaj,Pulsar 200NS,200,Blue,53,12000,
547,"Rs. 1,25,000",Used,30/1/2015,836,Kathmandu,Standard,2012,Bajaj,Discover 125,125,Black,53,15000,
548,"Rs. 2,05,000",Used,28/1/2015,945,Kathmandu,Standard,2013,Bajaj,Pulsar 220F,220,Red,59,17000,
549,"Rs. 75,000",Used,28/1/2015,559,Kathmandu,Standard,2006,Bajaj,Pulsar 180,180,Black,24,46000,
550,"Rs. 1,55,000",Used,27/1/2015,1014,Kathmandu,Standard,2012,Bajaj,Pulsar 150,150,BLUE,51,,
551,"Rs. 2,55,000",Used,26/1/2015,92,Kathmandu,Sportsbike,2014,Bajaj,Pulsar 200NS,200,black n white,65,2500,manufacture
552,"Rs. 2,35,000",Used,26/1/2015,656,Kathmandu,Cruiser,2014,Bajaj,Avenger,220,BLACK,65,3500,
553,"Rs. 1,30,000",Used,26/1/2015,124,Kathmandu,Standard,2009,Bajaj,Pulsar 220F,220,Black,42,26500,
554,"Rs. 1,50,000",Used,22/1/2015,68,Kathmandu,Standard,2012,Bajaj,Pulsar 180,180,blue,2012,25000,
555,"Rs. 1,70,000",Used,21/1/2015,1163,Bhaktapur,Standard,2012,Bajaj,Pulsar 220F,220,Blue,50,26600,
556,"Rs. 1,10,000",Used,19/1/2015,117,Lekhnath,Standard,2011,Bajaj,Pulsar 150,150,Red,2011,60000,
557,"Rs. 1,72,000",Used,19/1/2015,3121,Kathmandu,Sportsbike,2012,Bajaj,Pulsar 200NS,200,Black,52,20000,
558,"Rs. 1,00,000",Used,19/1/2015,6622,Kathmandu,Standard,1991,Bajaj,Other,150,White,3,,
559,"Rs. 2,40,000",Used,19/1/2015,685,Kathmandu,Standard,2013,Bajaj,Pulsar 220,220,Black and White,63,,
560,"Rs. 1,20,000",Used,18/1/2015,67,Kathmandu,Standard,2009,Bajaj,Pulsar 180,180,Blue,38,22000,
561,"Rs. 1,65,000",Used,20/1/2015,611,Lahan,Cruiser,2010,Bajaj,Avenger,220,Blue,20,18000,
562,"Rs. 2,20,000",Used,18/1/2015,80,Kathmandu,Sportsbike,2013,Bajaj,Pulsar 200NS,200,red,8,13000,
563,"Rs. 90,000",Used,16/1/2015,1909,Dharan,Standard,2007,Bajaj,Pulsar 200,200,black,15,50000,
564,"Rs. 1,05,000",Used,16/1/2015,1207,Kathmandu,Standard,2010,Bajaj,Pulsar 200,200,Blue,31,48000,
565,"Rs. 2,20,000",Used,16/1/2015,2566,Kathmandu,Standard,2014,Bajaj,Pulsar 220F,220,Red,60,6300,
566,"Rs. 83,000",Used,15/1/2015,654,Kathmandu,Standard,2008,Bajaj,Pulsar 200,200,Black,28,45000,
567,"Rs. 85,000",Used,13/7/2016,1151,Kathmandu,Standard,2009,Bajaj,Pulsar 200,200,BLACK,26,37000,
568,"Rs. 1,00,000",Used,14/1/2015,1149,Kathmandu,Standard,2009,Bajaj,Pulsar 200,200,Blue,31,40000,
569,"Rs. 1,10,000",Used,14/1/2015,50,Kathmandu,Standard,2008,Bajaj,Pulsar 200,200,black,28,45000,
570,"Rs. 1,85,900",New,3/9/2015,14496,Kathmandu,Standard,2014,Bajaj,Discover 125 ST,125,,,,
571,"Rs. 75,000",Used,12/1/2015,600,Kathmandu,Standard,2008,Bajaj,Pulsar 150,150,Black,29,41000,
572,"Rs. 1,99,999",Used,12/1/2015,461,Kathmandu,Sportsbike,2013,Bajaj,Pulsar 200NS,200,Blue,59,9600,
573,"Rs. 95,000",Used,11/1/2015,77,Kathmandu,Standard,2009,Bajaj,Pulsar 200,200,blue,32,,bajaj
574,"Rs. 1,10,000",Used,10/1/2015,151,,Standard,2008,Bajaj,Pulsar 200,223,red,32,47000,
575,"Rs. 2,30,000",Used,7/1/2015,681,Kathmandu,Standard,2013,Bajaj,Pulsar 220F,220,blue,59,3500,
576,"Rs. 2,00,000",Used,5/1/2015,203,Kathmandu,Sportsbike,2012,Bajaj,Pulsar 200NS,200,red,59,9500,
577,"Rs. 1,10,000",Used,5/1/2015,412,Kathmandu,Standard,2010,Bajaj,Pulsar 150,150,Black,40,40000,
578,"Rs. 60,000",Used,2/1/2015,144,Lalitpur,Standard,2005,Bajaj,Pulsar 150,150,Blue,19,20000,
579,"Rs. 2,60,000",Used,2/1/2015,1756,Kathmandu,Sportsbike,2014,Bajaj,Pulsar 200NS,200,Red And Black,65,1000,
580,"Rs. 1,00,000",Used,31/12/2014,346,Kathmandu,Standard,2009,Bajaj,Pulsar 180,180,Black,37,47000,
581,"Rs. 1,20,000",Used,30/12/2014,86,Ghaighat,Standard,2011,Bajaj,Pulsar 180,180,blue,3,43000,no
582,"Rs. 2,40,000",Used,27/12/2014,1456,Kathmandu,Sportsbike,2014,Bajaj,Pulsar 200NS,200,Black and blue,63,1900,
583,"Rs. 1,50,000",Used,29/12/2014,658,Kathmandu,Cruiser,2010,Bajaj,Avenger,220,Blue,42,21000,
584,"Rs. 1,96,000",Used,28/12/2014,829,Lalitpur,Standard,2014,Bajaj,Pulsar 180,180,Blue,62,4890,
585,"Rs. 2,45,000",Used,24/12/2014,782,Dharan,Sportsbike,2013,Bajaj,Pulsar 200NS,2013,blue,18,2500,1.5years
586,"Rs. 1,75,000",Used,21/12/2014,518,Kathmandu,Standard,2010,Bajaj,Pulsar 220F,220,Black,39,21000,
587,"Rs. 1,00,000",Used,10/4/2015,631,Kathmandu,Standard,2009,Bajaj,Pulsar 200,200,Blue,34,48000,
588,"Rs. 68,500",Used,16/12/2014,5613,Kathmandu,Standard,2010,Bajaj,Pulsar 135,135,Black,39,24000,
589,"Rs. 1,05,000",Used,12/12/2014,985,Chanauli,Standard,2011,Bajaj,Pulsar 150,150,black,14,45000,
590,"Rs. 1,70,000",Used,21/6/2015,1608,Kathmandu,Standard,2011,Bajaj,Pulsar 220,220,Black,48,25000,
591,"Rs. 1,22,000",Used,9/12/2014,423,Kathmandu,Standard,2009,Bajaj,Pulsar 220,220,Original Black,36,40000,Battery 3 year warrenty
592,"Rs. 1,65,000",Used,8/12/2014,220,Kathmandu,Standard,2014,Bajaj,Pulsar 150,150,Red,60,11000,
593,"Rs. 1,40,000",Used,11/12/2014,607,Kathmandu,Standard,2012,Bajaj,Pulsar 180,180,Blue,48,38000,
594,"Rs. 2,15,000",Used,3/12/2014,970,Kathmandu,Cruiser,2013,Bajaj,Avenger,220,Blue,60,5800,
595,"Rs. 1,20,000",Used,30/11/2014,208,,Standard,2012,Bajaj,Pulsar 180,180,Blue,45,40000,
596,"Rs. 1,45,000",Used,21/11/2014,154,Kathmandu,Standard,2011,Bajaj,Pulsar 180,180,blue,51,32000,1week my self
597,"Rs. 1,15,000",Used,16/11/2014,120,Kathmandu,Standard,2009,Bajaj,Pulsar 180,180,Black,37,45000,
598,"Rs. 1,15,000",Used,16/11/2014,282,Bharatpur,Standard,2011,Bajaj,Pulsar 180,180,Red,18,35000,1
599,"Rs. 1,40,000",Used,14/11/2014,707,Kathmandu,Standard,2013,Bajaj,Discover 125,125,Blue,59,12000,
600,"Rs. 1,40,000",Used,14/11/2014,388,Kathmandu,Standard,2010,Bajaj,Pulsar 180,180,black,36,29460,no
601,"Rs. 50,000",Used,11/11/2014,704,Kathmandu,Standard,2007,Bajaj,Pulsar 180,180,Black,22,22000,
602,"Rs. 1,75,000",Used,16/11/2014,2916,Lalitpur,Sportsbike,2012,Bajaj,Pulsar 200NS,200,Yellow,53,20000,
603,"Rs. 2,00,000",Used,3/11/2014,289,Narayanghat,Cruiser,2013,Bajaj,Avenger,220,Blue,26,9500,
604,"Rs. 1,00,000",Used,3/11/2014,70,Kathmandu,Standard,2014,Bajaj,Pulsar 200,200,red,29,48000,
605,"Rs. 1,95,000",Used,2/11/2014,6732,Kathmandu,Standard,2014,Bajaj,Pulsar 150,150,Blue,64,1400,
606,"Rs. 95,000",Used,29/10/2014,3184,Butwal,Standard,2009,Bajaj,Pulsar 180,180,Black,35,59100,
607,"Rs. 1,55,000",Used,28/10/2014,1605,Pokhara,Standard,2011,Bajaj,Pulsar 220,220,Black,40,17000,
608,"Rs. 2,00,000",Used,22/10/2014,629,Hetauda,Standard,2013,Bajaj,Pulsar 220S,220,blue black,13,9856,1
609,"Rs. 1,50,000",Used,10/10/2014,117,Lekhnath,Standard,2012,Bajaj,Pulsar 150,150,Blue,7,14000,
610,"Rs. 50,000",Used,5/10/2014,692,Kathmandu,Standard,2008,Bajaj,Discover 125,125,Red,30,60000,
611,"Rs. 1,21,500",Used,1/10/2014,1273,Kathmandu,Standard,2009,Bajaj,Pulsar 180,180,Black,38,24600,
612,"Rs. 1,40,000",Used,29/9/2014,59,Kathmandu,Standard,2009,Bajaj,Pulsar 180,180,Blue,38,31000,
613,"Rs. 2,10,000",Used,25/9/2014,144,Kathmandu,Sportsbike,2013,Bajaj,Pulsar 200NS,200,black,61,6500,no
614,"Rs. 1,20,000",Used,21/10/2014,226,Kathmandu,Standard,2007,Bajaj,Pulsar 200,200,blue,34,18160,
615,"Rs. 1,50,000",Used,24/9/2014,104,Kathmandu,Cruiser,2011,Bajaj,Avenger,220,Red,48,13000,No
616,"Rs. 1,20,000",Used,24/9/2014,391,Kathmandu,Standard,2010,Bajaj,Pulsar 200,200,red,29,48000,
617,"Rs. 1,05,000",Used,23/9/2014,364,Narayanghat,Standard,2010,Bajaj,Pulsar 180,180,Black,15,40000,
618,"Rs. 1,10,000",Used,23/9/2014,33,Kathmandu,Standard,2009,Bajaj,Pulsar 180,180,Black,38,28000,
619,"Rs. 80,000",Used,22/9/2014,117,Kathmandu,Standard,2010,Bajaj,Discover 100,100,Red & Black,40,36000,
620,"Rs. 1,00,000",Used,10/9/2014,1615,Kathmandu,Standard,2010,Bajaj,Platina 125,125,Red and Black,42,20500,
621,Contact Seller,Used,3/9/2014,200,Kathmandu,Standard,1999,Bajaj,Pulsar 220,220,Blue,36,18000,
622,"Rs. 1,65,000",Used,13/8/2014,106,Kirtipur,Cruiser,2011,Bajaj,Avenger,220,Black,44,19500,
623,"Rs. 1,68,900",New,3/9/2015,2612,Kathmandu,Standard,2014,Bajaj,Discover 125,125,,,,
624,"Rs. 1,73,900",New,3/9/2015,11676,Kathmandu,Standard,2014,Bajaj,Discover 125,125,,,,
625,"Rs. 1,55,900",New,3/9/2015,4622,Kathmandu,Standard,2014,Bajaj,Discover 100M,102,,,,
626,"Rs. 95,000",Used,14/6/2014,141,Kathmandu,Standard,2008,Bajaj,Pulsar 200,200,Black,31,35621,
627,"Rs. 80,000",Used,14/6/2014,174,Kathmandu,Standard,2009,Bajaj,Discover 100,100,Black,36,55155,
628,"Rs. 95,000",Used,14/6/2014,5239,Kathmandu,Standard,2008,Bajaj,Discover 135,135,Black,29,48500,
629,"Rs. 1,35,000",Used,14/6/2014,400,Kathmandu,Standard,2011,Bajaj,Pulsar 150,150,Red,46,37795,
630,"Rs. 1,75,000",Used,14/6/2014,1705,Kathmandu,Standard,2012,Bajaj,Pulsar 220F,220,Blue,51,31568,
631,"Rs. 1,50,000",Used,13/6/2014,74,Kathmandu,Standard,2011,Bajaj,Pulsar 150,150,Black,49,25000,
632,"Rs. 1,30,000",Used,13/6/2014,2189,Kathmandu,Standard,2010,Bajaj,Pulsar 150,150,Blue,41,30000,
633,"Rs. 1,10,000",Used,13/6/2014,163,Kathmandu,Standard,2009,Bajaj,Pulsar 150,150,Blue,35,30000,
634,"Rs. 1,10,000",Used,13/6/2014,197,Kathmandu,Standard,2009,Bajaj,Pulsar 200,200,Blue,32,30000,
635,"Rs. 80,000",Used,12/6/2014,256,Kathmandu,Standard,2008,Bajaj,Pulsar 150,150,Black,30,30000,
636,"Rs. 1,40,000",Used,12/6/2014,203,Kathmandu,Standard,2011,Bajaj,Pulsar 150,150,Black,46,30000,
637,"Rs. 1,55,000",Used,12/6/2014,5640,Kathmandu,Standard,2011,Bajaj,Pulsar 220F,220,Blue,44,50000,
638,"Rs. 1,70,900",New,3/9/2015,933,Kathmandu,Standard,2014,Bajaj,Discover 125,125,,,,
639,"Rs. 1,65,900",New,3/9/2015,1077,Kathmandu,Standard,2014,Bajaj,Discover 125,125,,,,
640,"Rs. 1,74,900",New,3/9/2015,3884,Kathmandu,Standard,2014,Bajaj,Discover 125,125,,,,
641,"Rs. 1,79,900",New,3/9/2015,17203,Kathmandu,Standard,2014,Bajaj,Pulsar 135,135,,,,
642,"Rs. 2,79,900",New,3/9/2015,76690,Kathmandu,Sportsbike,2014,Bajaj,Pulsar 200NS,200,,,,
643,"Rs. 2,71,900",New,3/9/2015,142619,Kathmandu,Standard,2014,Bajaj,Pulsar 220F,220,,,,
644,"Rs. 2,38,900",New,3/9/2015,29615,Kathmandu,Standard,2014,Bajaj,Pulsar 180,179,,,,
645,"Rs. 2,26,900",New,3/9/2015,131246,Kathmandu,Standard,2014,Bajaj,Pulsar 150,150,,,,
646,"Rs. 1,38,900",New,14/1/2015,10649,Kathmandu,Standard,2014,Bajaj,Platina 125,125,,,,
647,"Rs. 1,33,900",New,20/10/2014,3114,Kathmandu,Standard,2014,Bajaj,Platina 100,99,,,,
648,"Rs. 1,55,900",New,29/7/2014,8522,Kathmandu,Standard,2014,Bajaj,Discover 100,102,,,,
649,"Rs. 2,66,900",New,3/9/2015,27367,Kathmandu,Cruiser,2014,Bajaj,Avenger,220,,,,
650,"Rs. 40,000",Used,14/7/2020,178,Kathmandu,Scooter,2009,Hero,Pleasure,102,Black,38,32000,
651,"Rs. 1,00,000",Used,19/3/2017,98,,Standard,2012,Hero,CBZ Xtreme,149,Black,4,60000,
652,"Rs. 40,000",Used,4/8/2017,544,Pokhara,Standard,2003,Hero,Passion Pro,100,Black,2,75000,
653,Rs. 170.00,Used,17/2/2017,126,Damauli,Standard,2016,Hero,CBZ Xtreme,150,redblack,10,13000,
654,"Rs. 1,70,000",Used,14/2/2017,112,Damauli,Standard,2016,Hero,Xtreme,150,red black,10,13000,
655,"Rs. 1,50,000",Used,21/1/2017,97,Kathmandu,Standard,2015,Hero,Glamour,125,blue&black,69,9000,no
656,"Rs. 1,30,000",Used,18/1/2017,321,Kathmandu,Standard,2013,Hero,Achiver DSS,150,Black,58,12500,
657,"Rs. 1,30,000",Used,4/1/2017,126,Kathmandu,Standard,2014,Hero,Achiver DSS,110,Gray,63,13000,
658,"Rs. 65,000",Used,4/1/2017,2289,Lekhnath,Standard,2012,Hero,CBZ Xtreme,150,SILVER,12,50200,NO
659,"Rs. 80,000",Used,28/12/2016,898,Kathmandu,Standard,2010,Hero,Karizma R,223,Red,39,22800,No
660,"Rs. 77,000",Used,23/12/2016,1740,Kathmandu,Standard,2010,Hero,CBZ Xtreme,150,Black and red,38,47000,
661,"Rs. 1,00,000",Used,17/12/2016,138,Kathmandu,Standard,2014,Hero,Achiver DSS,110,white,56,12000,
662,"Rs. 1,35,000",Used,13/12/2016,787,Kathmandu,Standard,2015,Hero,Glamour,125,red n black,63,13500,
663,"Rs. 1,25,000",Used,12/12/2016,307,Narayanghat,Standard,2015,Hero,Achiver DSS,102,Red,37,3000,
664,"Rs. 1,05,000",Used,5/12/2016,338,Rajbiraj,Standard,2012,Hero,Glamour,125,black n red,2,23500,
665,"Rs. 1,15,000",Used,24/11/2016,64,Damak,Standard,2012,Hero,Xtreme,150,Black,4,30000,
666,"Rs. 1,00,000",Used,20/11/2016,642,Kathmandu,Scooter,2010,Hero,Pleasure,105,Red,39,200000,No
667,"Rs. 1,25,000",Used,6/10/2016,339,Kathmandu,Standard,2010,Hero,Karizma,225,Black,45,32000,NA
668,"Rs. 87,000",Used,4/10/2016,433,Lalitpur,Standard,2010,Hero,Splendor,97,Black,39,32044,
669,"Rs. 1,50,000",Used,2/10/2016,79,Bhairahawa,Standard,2014,Hero,Achiver DSS,100,Black,28,705,
670,"Rs. 1,90,000",Used,27/9/2016,231,Kathmandu,Standard,2011,Hero,Karizma R,223,White,55,16000,
671,"Rs. 65,000",Used,22/9/2016,415,Kathmandu,Scooter,2011,Hero,Pleasure,102,black,36,24000,
672,"Rs. 1,65,000",Used,9/9/2016,328,Damauli,Standard,2015,Hero,Xtreme Sports,150,Black,10,16500,Company Warranty
673,"Rs. 85,000",Used,31/8/2016,780,Kathmandu,Standard,2012,Hero,Hunk,150,black,17,40000,no
674,"Rs. 1,40,000",Used,23/8/2016,494,,Cafe Racer,2014,Hero,Splendor Pro Classic,100,Black,28,240,
675,"Rs. 1,40,000",Used,23/8/2016,1190,Kathmandu,Cafe Racer,2014,Hero,Splendor Pro Classic,100,Black,28,240,
676,Rs. 75.00,Used,12/8/2016,95,Lalitpur,Standard,2009,Hero,CBZ Xtreme,150,black,37,44000,
677,"Rs. 30,000",Used,11/8/2016,279,Kathmandu,Other,2002,Hero,Other,97,red,13,34000,
678,"Rs. 75,000",Used,10/8/2016,140,Lalitpur,Scooter,2013,Hero,Pleasure,100,black,46,19250,
679,"Rs. 1,18,000",Used,7/8/2016,210,Kathmandu,Standard,2012,Hero,Glamour,125,Black n red,2,24,No
680,"Rs. 75,000",Used,26/7/2016,452,Lalitpur,Scooter,2012,Hero,Pleasure,100,black,46,19230,
681,"Rs. 90,000",Used,20/7/2016,210,Kathmandu,Standard,2012,Hero,CBZ Xtreme,150,red,35,35020,no
682,"Rs. 70,000",Used,19/7/2016,162,Gatthaghar,Scooter,2011,Hero,Pleasure,102,black,48,17600,
683,"Rs. 75,000",Used,11/7/2016,113,Kathmandu,Standard,2010,Hero,Karizma R,225,Red,39,22000,
684,"Rs. 1,30,000",Used,10/7/2016,332,Kathmandu,Standard,2015,Hero,Splendor,100,black blue,70,4500,yes
685,"Rs. 1,15,000",Used,28/6/2016,111,Kathmandu,Standard,2014,Hero,Splendor,125,Black,59,12300,NA
686,Contact Seller,Used,24/6/2016,82,Kathmandu,Scooter,2008,Hero,Pleasure,110,red,28,25000,
687,"Rs. 1,00,000",Used,18/6/2016,490,,Standard,2010,Hero,Karizma,223,White,4,30000,
688,"Rs. 70,000",Used,13/6/2016,222,Janakpur,Standard,2010,Hero,Glamour,125,Red,3,35000,No warranty
689,"Rs. 90,000",Used,10/6/2016,290,Pokhara,Scooter,2014,Hero,Pleasure,102,Red/Black,8,3000,
690,"Rs. 70,000",Used,8/6/2016,800,Kathmandu,Scooter,2012,Hero,Pleasure,102,Black and red,46,15000,
691,"Rs. 50,000",Used,22/4/2016,168,Bharatpur,Standard,2010,Hero,CBZ,150,BLACK,15,42000,
692,"Rs. 50,000",Used,5/4/2016,2302,Kathmandu,Standard,2006,Hero,Ambition,135,Blue,18,18000,
693,"Rs. 62,000",Used,31/3/2016,237,Kathmandu,Standard,2009,Hero,Splendor,125,Black,20,31000,
694,"Rs. 1,65,000",Used,6/4/2016,232,Kathmandu,Standard,2014,Hero,Xtreme,150,Red,59,7300,5 yrs
695,"Rs. 70,000",Used,6/3/2016,1252,Kathmandu,Standard,2009,Hero,Splendor,100,blue black,31,11111,
696,"Rs. 1,05,000",Used,24/2/2016,78,Dharan,Standard,2011,Hero,CBZ Xtreme,150,black,9,40000,
697,"Rs. 70,000",Used,21/2/2016,1266,Bhaktapur,Standard,2011,Hero,Splendor,100,red,43,34000,
698,"Rs. 1,45,000",Used,21/2/2016,292,Kathmandu,Standard,2013,Hero,CBZ Xtreme,150,Black,54,21000,
699,"Rs. 1,50,000",Used,13/2/2016,2185,Kathmandu,Standard,2011,Hero,Karizma,223,black,45,19000,
700,"Rs. 95,000",Used,10/2/2016,389,Kathmandu,Standard,2010,Hero,Karizma R,225,black,40,29000,
701,"Rs. 95,000",Used,10/2/2016,93,Kathmandu,Standard,2010,Hero,Karizma R,225,black,40,29000,
702,"Rs. 60,000",Used,10/2/2016,357,Kathmandu,Scooter,2008,Hero,Pleasure,102,Black,30,47471,
703,"Rs. 2,00,000",Used,7/2/2016,1492,Kathmandu,Standard,2015,Hero,Xtreme Sports,150,Black and red,68,6000,5 years
704,"Rs. 1,71,500",New,12/1/2016,7194,Kathmandu,Scooter,2015,Hero,Dash,110,,,,
705,"Rs. 1,67,500",New,12/1/2016,11517,Kathmandu,Scooter,2015,Hero,Dash,110,,,,
706,"Rs. 1,90,000",Used,11/1/2016,247,Kathmandu,Standard,2013,Hero,Karizma,223,white,55,17000,
707,"Rs. 1,00,000",Used,20/12/2015,71,Kathmandu,Standard,2012,Hero,Glamour,125,red and black,43,32000,no warranty
708,"Rs. 1,50,000",Used,17/12/2015,230,Kathmandu,Standard,2012,Hero,CBZ Xtreme,149,Black,54,13600,
709,"Rs. 1,40,000",Used,11/12/2015,201,Kawasoti,Standard,2013,Hero,Xtreme,150,red,28,19500,
710,"Rs. 1,50,000",Used,11/12/2015,243,Kathmandu,Standard,2013,Hero,CBZ Xtreme,149,Black,56,17000,no
711,"Rs. 45,000",Used,31/10/2015,640,Kathmandu,Standard,2008,Hero,Hunk,150,Matt black,28,40000,No
712,"Rs. 77,000",Used,13/10/2015,87,Kathmandu,Standard,2010,Hero,CBZ,150,black and red,34,36000,
713,"Rs. 1,25,000",Used,3/10/2015,39,Lalitpur,Standard,2013,Hero,Splendor,125,Black,54,15000,No
714,"Rs. 1,25,000",Used,11/9/2015,587,Kathmandu,Cafe Racer,2014,Hero,Splendor Pro Classic,100,Black,65,9000,5 Years
715,"Rs. 1,25,000",Used,25/8/2015,104,Lalitpur,Standard,2011,Hero,CBZ Xtreme,150,Black,47,30000,
716,"Rs. 35,000",Used,13/8/2015,324,Kathmandu,Standard,1998,Hero,Splendor,100,Black,5,50000,No
717,"Rs. 80,000",Used,8/8/2015,118,Kathmandu,Scooter,2011,Hero,Pleasure,100,Black,43,25000,No
718,"Rs. 1,20,000",Used,4/8/2015,152,Janakpur,Cafe Racer,2013,Hero,Splendor Pro Classic,96,green,5,12000,no
719,"Rs. 1,25,000",Used,17/7/2015,379,Kathmandu,Standard,2010,Hero,CBZ Xtreme,150,BLACK,42,,
720,"Rs. 10,15,000",Used,13/7/2015,279,Kathmandu,Standard,2009,Hero,Karizma,125,Green,38,30000,
721,"Rs. 80,000",Used,12/7/2015,999,Lalitpur,Standard,2011,Hero,Splendor,100,Black,42,36000,
722,"Rs. 75,000",Used,9/7/2015,125,Kathmandu,Scooter,,Hero,Pleasure,102,Black,28,25000,
723,"Rs. 75,000",Used,3/7/2015,89,Kathmandu,Other,2009,Hero,Other,100,Black,38,30000,
724,"Rs. 45,000",Used,2/7/2015,105,Kathmandu,Standard,2003,Hero,Splendor,102,Red,16,85000,
725,"Rs. 70,000",Used,30/6/2015,137,Lalitpur,Scooter,2010,Hero,Pleasure,102,Black,44,,
726,"Rs. 1,10,000",Used,30/6/2015,221,Kathmandu,Standard,2009,Hero,CBZ,150,Black and Red,35,18000,
727,"Rs. 1,50,000",Used,28/6/2015,83,Lalitpur,Standard,2012,Hero,Karizma,223,Red,52,20000,
728,"Rs. 80,000",Used,26/6/2015,663,Lalitpur,Standard,2009,Hero,Karizma R,220,White,35,30000,
729,"Rs. 1,00,000",Used,26/6/2015,424,Kathmandu,Standard,2009,Hero,CBZ Xtreme,150,Black and Red,38,27000,
730,"Rs. 1,89,999",Used,25/6/2015,48,Kathmandu,Standard,2011,Hero,Karizma R,223,White,50,19000,
731,"Rs. 62,500",Used,10/7/2015,214,Kathmandu,Standard,,Hero,CBZ Xtreme,150,Red,24,,
732,"Rs. 95,000",Used,30/6/2015,457,Kathmandu,Scooter,2013,Hero,Pleasure,102,Red,56,,
733,"Rs. 1,80,000",Used,22/6/2015,375,Kathmandu,Standard,2014,Hero,Xtreme Sports,150,Red,59,3500,2 years
734,"Rs. 1,45,000",Used,21/6/2015,146,Lalitpur,Standard,,Hero,CBZ Xtreme,150,Red,47,,
735,"Rs. 1,10,000",Used,21/6/2015,56,Kathmandu,Standard,,Hero,CBZ Xtreme,150,Black,34,,
736,"Rs. 1,65,000",Used,19/6/2015,487,Pokhara,Standard,2015,Hero,Hunk,150,black,9,9000,6 month
737,"Rs. 1,30,000",Used,19/6/2015,68,Kathmandu,Standard,2012,Hero,CBZ Xtreme,150,Black,48,24000,
738,"Rs. 1,65,000",Used,18/6/2015,106,Lalitpur,Standard,2014,Hero,Xtreme,150,Red,62,7000,
739,"Rs. 1,75,000",Used,14/6/2015,37,Lalitpur,Other,2010,Hero,Other,223,red,40,40000,no
740,"Rs. 60,000",Used,16/6/2015,2950,Kathmandu,Scooter,2009,Hero,Pleasure,102,Black,38,17500,
741,"Rs. 75,000",Used,7/6/2015,229,Kathmandu,Scooter,2015,Hero,Pleasure,125,Black,43,115188,
742,"Rs. 1,40,000",Used,4/6/2015,215,Kathmandu,Other,2014,Hero,Other,100,Blue &Silver,62,4200,
743,"Rs. 1,85,000",Used,31/5/2015,245,Pokhara,Standard,2014,Hero,Hunk,149,black,9,6000,70000 or 5 year
