,price,Condition ,Date ,Views ,City,Motorbike Type ,Make Year,Make,Model,Engine size (cc),Colour,Lot No.,Kilometers,Warranty
1364,"Rs. 3,85,000",Used,15/11/2016,1068,Lalitpur,Sportsbike,2016,KTM,Duke 200,200,white & orange,69,13769,
1365,"Rs. 3,60,000",Used,12/11/2016,349,Kathmandu,Sportsbike,2015,KTM,Duke 200,200,"White, Orange & Black",69,13900,
1366,"Rs. 5,20,000",Used,6/11/2016,393,Pokhara,Sportsbike,2015,KTM,Duke 390,390,Black,67,19000,
1367,"Rs. 4,70,000",Used,27/10/2016,306,Pokhara,Sportsbike,2015,KTM,RC 200,200,black,11,10000,
1368,"Rs. 4,95,000",Used,25/10/2016,288,Lalitpur,Sportsbike,2015,KTM,Duke 390,390,Black and orange,69,10900,
1369,"Rs. 4,70,000",Used,12/4/2017,553,Kathmandu,Sportsbike,2016,KTM,RC 200,200,Black,73,3500,1year
1370,"Rs. 2,70,000",Used,4/10/2016,207,Trishuli,Sportsbike,2014,KTM,Duke 200,200,White,59,17500,
1371,"Rs. 5,70,000",Used,1/10/2016,426,Kathmandu,Sportsbike,2016,KTM,RC 390,373,white and black,71,1200,9 months
1372,"Rs. 5,10,000",Used,30/9/2016,369,Kathmandu,Sportsbike,2014,KTM,Duke 390,390,white,64,3700,
1373,"Rs. 4,80,000",Used,25/9/2016,525,Lalitpur,Sportsbike,2015,KTM,Duke 390,390,Black/orange,69,10100,
1374,"Rs. 4,20,000",Used,23/9/2016,462,Bharatpur,Sportsbike,2016,KTM,Duke 200,200,White,75,431,2 years
1375,"Rs. 3,80,000",Used,21/9/2016,112,Kathmandu,Sportsbike,2015,KTM,Duke 200,200,Blqck,70,8000,
1376,"Rs. 5,00,000",Used,21/9/2016,99,Kathmandu,Sportsbike,2014,KTM,RC 390,390,white and black with orange ring chasis,67,14000,no
1377,"Rs. 5,00,000",Used,21/9/2016,53,Kathmandu,Sportsbike,2014,KTM,RC 390,390,white and black with orange ring and chasis,67,14000,No
1378,"Rs. 5,30,000",Used,20/9/2016,540,Bhaktapur,Sportsbike,2014,KTM,RC 390,390,Orange white and black,66,15000,No
1379,Rs. 4.00,Used,19/9/2016,760,Chanauli,Sportsbike,2015,KTM,Duke 200,200,black,63,9500,
1380,"Rs. 4,80,000",Used,18/9/2016,286,Kathmandu,Sportsbike,2015,KTM,RC 390,390,white black,69,7000,no
1381,"Rs. 3,60,000",Used,15/9/2016,639,Kathmandu,Sportsbike,2015,KTM,Duke 200,200,white,5,8000,no
1382,"Rs. 4,60,000",Used,8/9/2016,578,Hetauda,Sportsbike,2016,KTM,RC 200,200,orange,39,6000,
1383,"Rs. 4,60,000",Used,7/9/2016,288,Bharatpur,Sportsbike,2016,KTM,RC 200,200,Black,69,8500,2 years of warranty
1384,"Rs. 2,75,000",Used,6/9/2016,1284,Kathmandu,Sportsbike,2012,KTM,Duke 200,200,Orange,51,15000,
1385,Contact Seller,Used,1/9/2016,124,Kathmandu,Sportsbike,2015,KTM,Duke 390,390,Any,65,6000,
1386,"Rs. 4,30,000",Used,31/8/2016,493,Lalitpur,Sportsbike,2015,KTM,RC 200,200,Matt black & orange,69,10000,
1387,"Rs. 4,05,000",Used,26/9/2016,494,Kathmandu,Sportsbike,2015,KTM,RC 200,200,black,69,9000,
1388,"Rs. 3,10,000",Used,26/8/2016,636,Dharan,Sportsbike,2012,KTM,Duke 200,200,Orange,23,10000,
1389,"Rs. 3,15,000",Used,20/8/2016,474,Butwal,Sportsbike,2014,KTM,Duke 200,200,Orange,20,13000,
1390,"Rs. 2,90,000",Used,13/8/2016,143,Bhairahawa,Sportsbike,2015,KTM,Duke 200,200,Any,,10000,
1391,"Rs. 4,70,000",Used,12/8/2016,360,Kathmandu,Sportsbike,2015,KTM,RC 200,200,black and orange,71,5000,
1392,"Rs. 3,60,000",Used,11/8/2016,77,Kathmandu,Sportsbike,2015,KTM,Duke 200,200,black,68,15000,2 year
1393,"Rs. 4,65,000",Used,7/8/2016,422,Kathmandu,Sportsbike,2016,KTM,RC 200,200,Black,72,4100,Yes
1394,"Rs. 6,50,000",Used,27/7/2016,104,Lalitpur,Sportsbike,2015,KTM,RC 390,390,"Black,white and orange",71,570,Yes
1395,Rs. 5.00,Used,15/7/2016,389,Lalitpur,Sportsbike,2016,KTM,RC 200,200,Orange,72,3900,
1396,Rs. 5.00,Used,15/7/2016,239,Lalitpur,Sportsbike,2016,KTM,RC 200,200,Orange,72,3900,
1397,"Rs. 4,90,000",Used,8/7/2016,201,Lalitpur,Sportsbike,2015,KTM,Duke 200,200,Black orange,72,3000,
1398,"Rs. 5,00,000",Used,8/7/2016,290,Lalitpur,Sportsbike,2015,KTM,RC 200,200,Black and orange,72,3100,
1399,"Rs. 4,50,000",Used,2/7/2016,439,Dharan,Sportsbike,2015,KTM,RC 200,200,black,21,3800,
1400,"Rs. 4,35,000",Used,29/6/2016,455,Kathmandu,Sportsbike,2015,KTM,RC 200,200,black,69,6000,
1401,"Rs. 3,60,000",Used,23/6/2016,698,Kathmandu,Sportsbike,2014,KTM,Duke 200,200,Black,65,10500,
1402,"Rs. 3,00,000",Used,20/6/2016,167,Kathmandu,Sportsbike,2015,KTM,Duke 200,200,KAAALOO,65,10000,
